title,price,rating,brand,ram_gb,storage_gb,storage_type,processor,processor_score,gpu,gpu_score,screen_size,product_url,image_url,availability,source,asin,source_url,scraped_at
"HP Notebook 15.6"" Intel Core i5 7200U 2.5GHz 4GB 500GB HDD (Intel HD Graphics 620)",20986.99,,HP,4,500,HDD,Intel Core i5 7200U 2.5GHz,5,Intel HD Graphics 620,2,15.6,,,,Kaggle,10,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"HP Notebook 15.6"" Intel Core i3 6006U 2GHz 4GB 500GB HDD (Intel HD Graphics 520)",18381.07,,HP,4,500,HDD,Intel Core i3 6006U 2GHz,3,Intel HD Graphics 520,2,15.6,,,,Kaggle,11,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Apple Ultrabook 15.4"" Intel Core i7 2.8GHz 16GB 256GB SSD (AMD Radeon Pro 555)",130001.6,,Apple,16,256,SSD,Intel Core i7 2.8GHz,7,AMD Radeon Pro 555,5,15.4,,,,Kaggle,12,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Dell Notebook 15.6"" Intel Core i3 6006U 2GHz 4GB 256GB SSD (AMD Radeon R5 M430)",26581.39,,Dell,4,256,SSD,Intel Core i3 6006U 2GHz,3,AMD Radeon R5 M430,2,15.6,,,,Kaggle,13,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Apple Ultrabook 12.0"" Intel Core M m3 1.2GHz 8GB 256GB SSD (Intel HD Graphics 615)",67260.67,,Apple,8,256,SSD,Intel Core M m3 1.2GHz,7,Intel HD Graphics 615,2,12.0,,,,Kaggle,14,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Apple Ultrabook 13.3"" Intel Core i5 2.3GHz 8GB 256GB SSD (Intel Iris Plus Graphics 640)",80908.34,,Apple,8,256,SSD,Intel Core i5 2.3GHz,5,Intel Iris Plus Graphics 640,3,13.3,,,,Kaggle,15,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Dell Notebook 15.6"" Intel Core i7 7500U 2.7GHz 8GB 256GB SSD (AMD Radeon R5 M430)",39693.6,,Dell,8,256,SSD,Intel Core i7 7500U 2.7GHz,7,AMD Radeon R5 M430,2,15.6,,,,Kaggle,16,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Apple Ultrabook 15.4"" Intel Core i7 2.9GHz 16GB 512GB SSD (AMD Radeon Pro 560)",152274.24,,Apple,16,512,SSD,Intel Core i7 2.9GHz,7,AMD Radeon Pro 560,5,15.4,,,,Kaggle,17,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Lenovo Notebook 15.6"" Intel Core i3 7100U 2.4GHz 8GB 1TB HDD (Nvidia GeForce 940MX)",26586.72,,Lenovo,8,1024,HDD,Intel Core i3 7100U 2.4GHz,3,Nvidia GeForce 940MX,1,15.6,,,,Kaggle,18,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Dell Ultrabook 13.3"" Intel Core i5 8250U 1.6GHz 8GB 128GB SSD (Intel UHD Graphics 620)",52161.12,,Dell,8,128,SSD,Intel Core i5 8250U 1.6GHz,5,Intel UHD Graphics 620,2,13.3,,,,Kaggle,19,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Asus Netbook 11.6"" Intel Atom x5-Z8350 1.44GHz 2GB 32GB Flash Storage (Intel HD Graphics 400)",10224.43,,Asus,2,32,FLASH,Intel Atom x5-Z8350 1.44GHz,1,Intel HD Graphics 400,2,11.6,,,,Kaggle,20,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Lenovo Gaming 15.6"" Intel Core i5 7300HQ 2.5GHz 8GB 128GB SSD + 1TB HDD (Nvidia GeForce GTX 1050)",53226.72,,Lenovo,8,128,SSD,Intel Core i5 7300HQ 2.5GHz,5,Nvidia GeForce GTX 1050,4,15.6,,,,Kaggle,21,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"HP Notebook 15.6"" AMD E-Series E2-9000e 1.5GHz 4GB 500GB HDD (AMD Radeon R2)",13746.24,,HP,4,500,HDD,AMD E-Series E2-9000e 1.5GHz,1,AMD Radeon R2,2,15.6,,,,Kaggle,22,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Dell 2 in 1 Convertible 13.3"" Intel Core i5 8250U 1.6GHz 8GB 256GB SSD (Intel UHD Graphics 620)",43636.32,,Dell,8,256,SSD,Intel Core i5 8250U 1.6GHz,5,Intel UHD Graphics 620,2,13.3,,,,Kaggle,23,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"HP Ultrabook 15.6"" Intel Core i7 8550U 1.8GHz 8GB 256GB SSD (Intel HD Graphics 620)",35111.52,,HP,8,256,SSD,Intel Core i7 8550U 1.8GHz,7,Intel HD Graphics 620,2,15.6,,,,Kaggle,24,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Dell Notebook 15.6"" Intel Core i3 6006U 2GHz 4GB 1TB HDD (Intel HD Graphics 520)",22305.14,,Dell,4,1024,HDD,Intel Core i3 6006U 2GHz,3,Intel HD Graphics 520,2,15.6,,,,Kaggle,25,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Apple Ultrabook 13.3"" Intel Core i5 1.6GHz 8GB 128GB Flash Storage (Intel HD Graphics 6000)",58554.72,,Apple,8,128,FLASH,Intel Core i5 1.6GHz,5,Intel HD Graphics 6000,2,13.3,,,,Kaggle,26,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Dell Notebook 15.6"" Intel Core i5 8250U 1.6GHz 8GB 256GB SSD (AMD Radeon 530)",42624.0,,Dell,8,256,SSD,Intel Core i5 8250U 1.6GHz,5,AMD Radeon 530,2,15.6,,,,Kaggle,27,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Dell Ultrabook 15.6"" Intel Core i7 8650U 1.9GHz 8GB 256GB SSD + 256GB SSD (Intel UHD Graphics 620)",69157.44,,Dell,8,256,SSD,Intel Core i7 8650U 1.9GHz,7,Intel UHD Graphics 620,2,15.6,,,,Kaggle,28,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"HP Notebook 17.3"" Intel Core i5 8250U 1.6GHz 8GB 1TB HDD (Nvidia GeForce 930MX)",47738.88,,HP,8,1024,HDD,Intel Core i5 8250U 1.6GHz,5,Nvidia GeForce 930MX,1,17.3,,,,Kaggle,29,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Chuwi Notebook 15.6"" Intel Atom x5-Z8300 1.44GHz 4GB 64GB Flash Storage (Intel HD Graphics)",13053.07,,Chuwi,4,64,FLASH,Intel Atom x5-Z8300 1.44GHz,1,Intel HD Graphics,2,15.6,,,,Kaggle,30,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Asus Notebook 14.0"" AMD E-Series E2-6110 1.5GHz 2GB 32GB Flash Storage (AMD Radeon R2)",10602.72,,Asus,2,32,FLASH,AMD E-Series E2-6110 1.5GHz,1,AMD Radeon R2,2,14.0,,,,Kaggle,31,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"HP Notebook 17.3"" AMD A6-Series 9220 2.5GHz 4GB 500GB HDD (AMD Radeon 530)",23389.92,,HP,4,500,HDD,AMD A6-Series 9220 2.5GHz,4,AMD Radeon 530,2,17.3,,,,Kaggle,32,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Dell Ultrabook 13.3"" Intel Core i7 8550U 1.8GHz 16GB 512GB SSD (Intel UHD Graphics 620)",99580.32,,Dell,16,512,SSD,Intel Core i7 8550U 1.8GHz,7,Intel UHD Graphics 620,2,13.3,,,,Kaggle,33,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Apple Ultrabook 13.3"" Intel Core i5 1.6GHz 8GB 256GB Flash Storage (Intel HD Graphics 6000)",53173.44,,Apple,8,256,FLASH,Intel Core i5 1.6GHz,5,Intel HD Graphics 6000,2,13.3,,,,Kaggle,34,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Lenovo Notebook 14.0"" Intel Celeron Dual Core N3350 1.1GHz 4GB 64GB Flash Storage (Intel HD Graphics 500)",13266.72,,Lenovo,4,64,FLASH,Intel Celeron Dual Core N3350 1.1GHz,1,Intel HD Graphics 500,2,14.0,,,,Kaggle,35,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Acer Notebook 15.6"" Intel Core i3 7130U 2.7GHz 4GB 1TB HDD (Intel HD Graphics 620)",19553.76,,Acer,4,1024,HDD,Intel Core i3 7130U 2.7GHz,3,Intel HD Graphics 620,2,15.6,,,,Kaggle,36,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Dell Notebook 17.3"" Intel Core i5 8250U 1.6GHz 8GB 128GB SSD + 1TB HDD (AMD Radeon 530)",52161.12,,Dell,8,128,SSD,Intel Core i5 8250U 1.6GHz,5,AMD Radeon 530,2,17.3,,,,Kaggle,37,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"HP Notebook 15.6"" Intel Core i5 7200U 2.5GHz 4GB 1TB HDD (Intel HD Graphics 620)",26037.4,,HP,4,1024,HDD,Intel Core i5 7200U 2.5GHz,5,Intel HD Graphics 620,2,15.6,,,,Kaggle,38,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"HP Notebook 15.6"" Intel Core i5 8250U 1.6GHz 8GB 256GB SSD (Nvidia GeForce 930MX)",46833.12,,HP,8,256,SSD,Intel Core i5 8250U 1.6GHz,5,Nvidia GeForce 930MX,1,15.6,,,,Kaggle,39,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Asus Notebook 15.6"" Intel Core i3 6006U 2GHz 4GB 1TB HDD (Intel HD Graphics 620)",20725.92,,Asus,4,1024,HDD,Intel Core i3 6006U 2GHz,3,Intel HD Graphics 620,2,15.6,,,,Kaggle,40,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Dell Gaming 15.6"" Intel Core i7 7700HQ 2.8GHz 16GB 256GB SSD + 1TB HDD (Nvidia GeForce GTX 1060)",79866.72,,Dell,16,256,SSD,Intel Core i7 7700HQ 2.8GHz,7,Nvidia GeForce GTX 1060,1,15.6,,,,Kaggle,41,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Asus Notebook 15.6"" Intel Core i5 7200U 2.5GHz 8GB 1TB HDD (Nvidia GeForce 940MX)",27864.91,,Asus,8,1024,HDD,Intel Core i5 7200U 2.5GHz,5,Nvidia GeForce 940MX,1,15.6,,,,Kaggle,42,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Acer Notebook 15.6"" Intel Core i5 8250U 1.6GHz 4GB 256GB SSD (Intel UHD Graphics 620)",36336.96,,Acer,4,256,SSD,Intel Core i5 8250U 1.6GHz,5,Intel UHD Graphics 620,2,15.6,,,,Kaggle,43,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Dell 2 in 1 Convertible 17.3"" Intel Core i5 8250U 1.6GHz 12GB 1TB HDD (Nvidia GeForce 150MX)",53226.72,,Dell,12,1024,HDD,Intel Core i5 8250U 1.6GHz,5,Nvidia GeForce 150MX,1,17.3,,,,Kaggle,44,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Apple Ultrabook 13.3"" Intel Core i5 2.0GHz 8GB 256GB SSD (Intel Iris Graphics 540)",75604.32,,Apple,8,256,SSD,Intel Core i5 2.0GHz,5,Intel Iris Graphics 540,3,13.3,,,,Kaggle,45,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Lenovo Notebook 15.6"" Intel Core i3 6006U 2GHz 4GB 128GB SSD (Intel HD Graphics 520)",19660.32,,Lenovo,4,128,SSD,Intel Core i3 6006U 2GHz,3,Intel HD Graphics 520,2,15.6,,,,Kaggle,46,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Asus Gaming 17.3"" AMD Ryzen 1700 3GHz 8GB 256GB SSD + 1TB HDD (AMD Radeon RX 580)",69210.72,,Asus,8,256,SSD,AMD Ryzen 1700 3GHz,4,AMD Radeon RX 580,2,17.3,,,,Kaggle,47,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Dell Notebook 15.6"" Intel Core i5 7200U 2.5GHz 4GB 256GB SSD (AMD Radeon R5 M430)",34045.92,,Dell,4,256,SSD,Intel Core i5 7200U 2.5GHz,5,AMD Radeon R5 M430,2,15.6,,,,Kaggle,48,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Asus Notebook 17.3"" Intel Pentium Quad Core N4200 1.1GHz 4GB 1TB HDD (Nvidia GeForce 920MX)",24828.48,,Asus,4,1024,HDD,Intel Pentium Quad Core N4200 1.1GHz,2,Nvidia GeForce 920MX,1,17.3,,,,Kaggle,49,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Lenovo 2 in 1 Convertible 10.1"" Intel Atom x5-Z8550 1.44GHz 4GB 64GB Flash Storage (Intel HD Graphics 400)",16996.32,,Lenovo,4,64,FLASH,Intel Atom x5-Z8550 1.44GHz,1,Intel HD Graphics 400,2,10.1,,,,Kaggle,50,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Acer Notebook 15.6"" Intel Core i7 8550U 1.8GHz 8GB 256GB SSD (Nvidia GeForce MX150)",44808.48,,Acer,8,256,SSD,Intel Core i7 8550U 1.8GHz,7,Nvidia GeForce MX150,1,15.6,,,,Kaggle,51,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"HP Notebook 15.6"" AMD A6-Series 9220 2.5GHz 4GB 256GB SSD (AMD Radeon R4 Graphics)",21231.55,,HP,4,256,SSD,AMD A6-Series 9220 2.5GHz,4,AMD Radeon R4 Graphics,2,15.6,,,,Kaggle,52,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"HP Notebook 13.3"" Intel Core i7 8550U 1.8GHz 8GB 512GB SSD (Intel UHD Graphics 620)",58767.84,,HP,8,512,SSD,Intel Core i7 8550U 1.8GHz,7,Intel UHD Graphics 620,2,13.3,,,,Kaggle,53,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Acer Notebook 15.6"" Intel Core i3 7100U 2.4GHz 4GB 1TB HDD (Intel HD Graphics 620)",20459.52,,Acer,4,1024,HDD,Intel Core i3 7100U 2.4GHz,3,Intel HD Graphics 620,2,15.6,,,,Kaggle,54,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Dell Notebook 15.6"" Intel Core i7 8550U 1.8GHz 8GB 256GB SSD (AMD Radeon 520)",40908.38,,Dell,8,256,SSD,Intel Core i7 8550U 1.8GHz,7,AMD Radeon 520,2,15.6,,,,Kaggle,55,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"HP Notebook 15.6"" Intel Core i3 6006U 2GHz 4GB 128GB SSD (Intel HD Graphics 520)",23389.92,,HP,4,128,SSD,Intel Core i3 6006U 2GHz,3,Intel HD Graphics 520,2,15.6,,,,Kaggle,56,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Asus Notebook 15.6"" Intel Core i5 7200U 2.5GHz 4GB 256GB SSD (Intel HD Graphics 620)",31232.2,,Asus,4,256,SSD,Intel Core i5 7200U 2.5GHz,5,Intel HD Graphics 620,2,15.6,,,,Kaggle,57,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"MSI Gaming 17.3"" Intel Core i7 7700HQ 2.8GHz 16GB 256GB SSD + 2TB HDD (Nvidia GeForce GTX 1070)",130482.72,,MSI,16,256,SSD,Intel Core i7 7700HQ 2.8GHz,7,Nvidia GeForce GTX 1070,6,17.3,,,,Kaggle,58,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Asus Notebook 15.6"" Intel Core i3 6006U 2GHz 4GB 256GB SSD (Intel HD Graphics 520)",22111.2,,Asus,4,256,SSD,Intel Core i3 6006U 2GHz,3,Intel HD Graphics 520,2,15.6,,,,Kaggle,59,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Dell Notebook 17.3"" Intel Core i7 8550U 1.8GHz 16GB 256GB SSD + 2TB HDD (AMD Radeon 530)",69210.72,,Dell,16,256,SSD,Intel Core i7 8550U 1.8GHz,7,AMD Radeon 530,2,17.3,,,,Kaggle,60,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Dell Ultrabook 14.0"" Intel Core i5 8250U 1.6GHz 8GB 256GB SSD (Intel UHD Graphics 620)",46833.12,,Dell,8,256,SSD,Intel Core i5 8250U 1.6GHz,5,Intel UHD Graphics 620,2,14.0,,,,Kaggle,61,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Lenovo Notebook 14.0"" Intel Core i3 7130U 2.7GHz 8GB 256GB SSD (Intel HD Graphics 620)",31914.72,,Lenovo,8,256,SSD,Intel Core i3 7130U 2.7GHz,3,Intel HD Graphics 620,2,14.0,,,,Kaggle,62,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Asus Notebook 14.0"" Intel Core i5 8250U 1.6GHz 8GB 256GB SSD (Intel UHD Graphics 620)",50136.48,,Asus,8,256,SSD,Intel Core i5 8250U 1.6GHz,5,Intel UHD Graphics 620,2,14.0,,,,Kaggle,63,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"HP Notebook 15.6"" Intel Core i5 7200U 2.5GHz 8GB 256GB SSD (Intel HD Graphics 620)",36763.2,,HP,8,256,SSD,Intel Core i5 7200U 2.5GHz,5,Intel HD Graphics 620,2,15.6,,,,Kaggle,64,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Asus Ultrabook 15.6"" Intel Core i7 7700HQ 2.8GHz 16GB 512GB SSD (Nvidia GeForce GTX 1050 Ti)",105654.24,,Asus,16,512,SSD,Intel Core i7 7700HQ 2.8GHz,7,Nvidia GeForce GTX 1050 Ti,4,15.6,,,,Kaggle,65,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"HP Notebook 15.6"" Intel Core i3 6006U 2GHz 4GB 500GB HDD (AMD Radeon 520)",23373.4,,HP,4,500,HDD,Intel Core i3 6006U 2GHz,3,AMD Radeon 520,2,15.6,,,,Kaggle,66,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"HP Notebook 14.0"" Intel Celeron Dual Core N3060 1.6GHz 4GB 32GB SSD (Intel HD Graphics 400)",12201.12,,HP,4,32,SSD,Intel Celeron Dual Core N3060 1.6GHz,1,Intel HD Graphics 400,2,14.0,,,,Kaggle,67,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Lenovo Notebook 15.6"" Intel Core i5 7200U 2.5GHz 4GB 1TB HDD (Intel HD Graphics 620)",29250.72,,Lenovo,4,1024,HDD,Intel Core i5 7200U 2.5GHz,5,Intel HD Graphics 620,2,15.6,,,,Kaggle,68,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Asus Gaming 17.3"" Intel Core i7 7700HQ 2.8GHz 12GB 1TB HDD (Nvidia GeForce GTX 1050 Ti)",50562.72,,Asus,12,1024,HDD,Intel Core i7 7700HQ 2.8GHz,7,Nvidia GeForce GTX 1050 Ti,4,17.3,,,,Kaggle,69,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Microsoft Ultrabook 13.5"" Intel Core i5 7200U 2.5GHz 4GB 128GB SSD (Intel HD Graphics 620)",58021.92,,Microsoft,4,128,SSD,Intel Core i5 7200U 2.5GHz,5,Intel HD Graphics 620,2,13.5,,,,Kaggle,70,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Dell Ultrabook 13.3"" Intel Core i7 8550U 1.8GHz 8GB 256GB SSD (AMD Radeon 530)",50882.4,,Dell,8,256,SSD,Intel Core i7 8550U 1.8GHz,7,AMD Radeon 530,2,13.3,,,,Kaggle,71,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Dell Notebook 15.6"" Intel Core i7 8550U 1.8GHz 8GB 256GB SSD (AMD Radeon 530)",46353.6,,Dell,8,256,SSD,Intel Core i7 8550U 1.8GHz,7,AMD Radeon 530,2,15.6,,,,Kaggle,72,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"MSI Gaming 17.3"" Intel Core i5 7300HQ 2.5GHz 8GB 128GB SSD + 1TB HDD (Nvidia GeForce GTX 1050)",58341.6,,MSI,8,128,SSD,Intel Core i5 7300HQ 2.5GHz,5,Nvidia GeForce GTX 1050,4,17.3,,,,Kaggle,73,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Acer Notebook 14.0"" Intel Core i3 6006U 2GHz 8GB 1TB HDD (Intel HD Graphics 520)",20725.92,,Acer,8,1024,HDD,Intel Core i3 6006U 2GHz,3,Intel HD Graphics 520,2,14.0,,,,Kaggle,74,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Asus Gaming 15.6"" Intel Core i7 7700HQ 2.8GHz 8GB 1TB HDD (Nvidia GeForce GTX 1050)",50562.72,,Asus,8,1024,HDD,Intel Core i7 7700HQ 2.8GHz,7,Nvidia GeForce GTX 1050,4,15.6,,,,Kaggle,75,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Lenovo Notebook 15.6"" Intel Core i5 7200U 2.5GHz 8GB 2TB HDD (Intel HD Graphics 620)",27652.32,,Lenovo,8,2048,HDD,Intel Core i5 7200U 2.5GHz,5,Intel HD Graphics 620,2,15.6,,,,Kaggle,76,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Dell Notebook 15.6"" Intel Core i7 8550U 1.8GHz 8GB 128GB SSD + 1TB HDD (Intel UHD Graphics 620)",45554.4,,Dell,8,128,SSD,Intel Core i7 8550U 1.8GHz,7,Intel UHD Graphics 620,2,15.6,,,,Kaggle,77,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Acer Notebook 15.6"" Intel Core i3 7130U 2.7GHz 4GB 1TB HDD (Nvidia GeForce MX130)",28238.4,,Acer,4,1024,HDD,Intel Core i3 7130U 2.7GHz,3,Nvidia GeForce MX130,1,15.6,,,,Kaggle,78,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"HP Notebook 17.3"" Intel Core i5 8250U 1.6GHz 8GB 128GB SSD + 1TB HDD (Nvidia GeForce 930MX)",52054.56,,HP,8,128,SSD,Intel Core i5 8250U 1.6GHz,5,Nvidia GeForce 930MX,1,17.3,,,,Kaggle,79,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Dell Ultrabook 15.6"" Intel Core i5 8250U 1.6GHz 8GB 256GB SSD (Intel UHD Graphics 620)",58403.4,,Dell,8,256,SSD,Intel Core i5 8250U 1.6GHz,5,Intel UHD Graphics 620,2,15.6,,,,Kaggle,80,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Apple Ultrabook 12.0"" Intel Core i5 1.3GHz 8GB 512GB SSD (Intel HD Graphics 615)",80452.8,,Apple,8,512,SSD,Intel Core i5 1.3GHz,5,Intel HD Graphics 615,2,12.0,,,,Kaggle,81,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"HP Notebook 14.0"" Intel Core i5 8250U 1.6GHz 8GB 256GB SSD (Intel HD Graphics 620)",45820.8,,HP,8,256,SSD,Intel Core i5 8250U 1.6GHz,5,Intel HD Graphics 620,2,14.0,,,,Kaggle,82,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Lenovo Notebook 15.6"" AMD A6-Series 9220 2.5GHz 4GB 128GB SSD (AMD R4 Graphics)",21258.72,,Lenovo,4,128,SSD,AMD A6-Series 9220 2.5GHz,4,AMD R4 Graphics,2,15.6,,,,Kaggle,83,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
"Acer Notebook 15.6"" AMD A9-Series 9420 3GHz 4GB 1TB HDD (AMD Radeon R5)",21045.6,,Acer,4,1024,HDD,AMD A9-Series 9420 3GHz,2,AMD Radeon R5,2,15.6,,,,Kaggle,84,https://www.kaggle.com/datasets/eslamelsolya/laptop-price-prediction,
